,Company/Brand,Amount($),Year of Funding
709,Freyr Energy,3500000.0,4039
1288,Niro,3500000.0,2021
92,Apnaklub,3500000.0,2021
1519,Quintype,3500000.0,2020
828,Hash,3500000.0,2021
649,Fingpay,3500000.0,2020
1388,Pazcare,3500000.0,2021
1523,Qyuki,3500000.0,2020
1082,Leverage Edu,3500000.0,6062
2,1Crowd,3500000.0,2018
813,HaikuJAM,3400000.0,2020
1714,SmartClean,3400000.0,2020
267,Bulk MRO,3344000.0,2020
1807,Supertails,3300000.0,4042
2121,YoloBus,3300000.0,2020
2159,ZunRoof,3242360.0,4038
868,Housejoy,3240000.0,2018
1372,Pankhuri,3200000.0,2021
2193,inFeedo,3200000.0,2020
574,Entri,3100000.0,4040
772,GoZefo,3066000.0,2018
1739,Specsmaker,3060000.0,2020
186,Betterhalf.ai,3000000.0,2021
644,Financepeer,3000000.0,2020
1226,Muse Wearables,3000000.0,2020
1605,SSA Finserv,3000000.0,2021
1997,Veefin,3000000.0,2021
857,Holisol,3000000.0,2021
1260,Neeman,3000000.0,4041
496,Doola,3000000.0,2021
1604,SP Robotic Works,3000000.0,2021
664,Fitterfly,3000000.0,2021
1486,ProfitWheel,3000000.0,2021
2005,Verloop,3000000.0,2018
1871,The Souled Store,3000000.0,2018
2057,Wealth Bucket,3000000.0,2020
1359,Oye Rickshaw,3000000.0,2021
1317,OWO Technologies,3000000.0,2021
882,Hypto,3000000.0,2021
40,AdonMo,3000000.0,2020
42,Aerchain,3000000.0,2021
221,BlackSoil NBFC,3000000.0,2021
2022,Vital,3000000.0,2021
2023,VitalTech,3000000.0,2020
678,Flick Stree,3000000.0,2020
832,Headfone,3000000.0,2021
334,Circle of Angels,3000000.0,2020
1333,Oliveboard,3000000.0,2021
1217,Moneyboxx,3000000.0,2021
1148,MaxWholesale,3000000.0,2020
1982,VRO Hospitality,3000000.0,2021
1834,Tamasha,3000000.0,2021
1802,SuperOps.ai,3000000.0,2021
12,88academics,3000000.0,2021
757,Glamyo Health,3000000.0,2021
418,Crejo.Fun,3000000.0,2021
1731,Sourcewiz,3000000.0,2021
1823,TABLT,3000000.0,2021
206,Bimaplan,3000000.0,4042
1740,Specsmakers,3000000.0,2020
1698,Skylark Drones,3000000.0,2021
1805,Superpro.ai,3000000.0,2021
249,Bounce (Metro Bikes),3000000.0,2018
585,Etrio,3000000.0,2020
288,Candes,3000000.0,2021
1440,PlayerzPot,3000000.0,2020
1116,Lysto,3000000.0,2021
177,BeepKart,3000000.0,2021
1911,Trica,3000000.0,2021
726,GPS Renewables,3000000.0,2020
555,Elda Health,3000000.0,4042
557,ElectricPe,3000000.0,2021
1392,Pee Safe,3000000.0,2021
443,DGV,3000000.0,2021
1394,Peel-Works,3000000.0,2020
185,BetterPlace Safety Solutions Pvt. Ltd.,3000000.0,2018
262,Bueno Finance,3000000.0,2021
1753,Spry,3000000.0,4042
1010,Kisan Network,3000000.0,2020
261,Buddy4Study.com,3000000.0,2018
775,Gobillion,2900000.0,2021
1717,SmartVizX,2847000.0,4038
850,High Street Essentials,2743000.0,2020
320,Charcoal Eats,2730000.0,4038
1092,LivQuik,2700000.0,2018
406,CredRight,2700000.0,2021
1622,Samosa Singh,2700000.0,2020
103,Arcana,2670000.0,4042
194,Biddano,2600000.0,4041
628,Fantasy Akhada,2600000.0,4042
571,Enmovil,2600000.0,4042
654,Fintso,2600000.0,2020
578,Epigamia,2558000.0,2020
374,Coinshift,2500000.0,2021
61,AjnaLens,2500000.0,4040
370,Coin DCX,2500000.0,2020
240,Bombay Play,2500000.0,4040
992,Karnival,2500000.0,2021
1942,Udayy,2500000.0,2021
697,Fox Capital,2500000.0,2020
482,Digantara,2500000.0,2021
1,1Bridge,2500000.0,2021
1586,Rulezero,2500000.0,2021
1896,Toplyne,2500000.0,2021
2090,Wobot Intelligence,2500000.0,2020
1274,NewsBytes,2500000.0,4038
956,Invideo,2500000.0,2020
781,GoodGamer,2500000.0,2020
1828,TWID,2500000.0,2021
1988,Vahdam Teas,2500000.0,2018
561,Eloelo,2450000.0,4041
2097,Worxogo,2409000.0,2018
1338,OneAssist,2400000.0,2018
1578,Rooter,2357000.0,4038
304,CashBook,2300000.0,2021
1417,Phononic Vibes,2300000.0,2020
713,Frontier Markets,2250000.0,2020
1149,Maya,2200000.0,2021
298,CareerLabs,2200000.0,2021
1904,TravClan,2200000.0,2021
495,Doodhwala,2200000.0,2018
1337,Onato,2200000.0,2021
21,ANS Commerce,2200000.0,2021
140,Aviom India Housing Finance,2190000.0,2018
894,Iba Halal Care,2190000.0,2018
1626,Sanfe,2100000.0,4041
919,IndyFint,2100000.0,2020
182,BestDoc,2100000.0,2020
1295,NoBroker.com,2100000.0,2021
195,Big Bang Boom Solutions,2050000.0,4040
1438,Planys Technologies,2046920.0,2018
1507,Qbera,2044000.0,2018
428,Cube,2044000.0,2018
356,CloudSek,2044000.0,2018
615,FabHotels,2030000.0,4040
1098,LoadShare,2004000.0,2020
31,Able Jobs,2000000.0,2020
404,CredFlow,2000000.0,2021
224,BlissClub,2000000.0,2021
744,Geniemode,2000000.0,2021
30,Aavenir,2000000.0,2020
399,CreatorStack,2000000.0,2021
24,ASQI Advisors,2000000.0,4042
1923,Truebil,2000000.0,2018
748,Genworks Health,2000000.0,2021
229,Blue Tokai Coffee Roasters,2000000.0,2021
189,BeyondSkool,2000000.0,2021
1515,QuickSell,2000000.0,2021
796,GrowFix,2000000.0,2021
1965,Uolo,2000000.0,2020
1449,Pocket Aces,2000000.0,2021
1963,Unotech,2000000.0,2020
1434,Placio,2000000.0,2018
764,Go Swift,2000000.0,2021
1353,Origa,2000000.0,2020
369,Cogos Technologies,2000000.0,2021
722,FypMoney,2000000.0,2021
727,GTM Buddy,2000000.0,2021
1383,PayMe India,2000000.0,2018
1408,PetPooja,2000000.0,2020
1926,TrulyMadly,2000000.0,2021
761,GlobalFair,2000000.0,2021
57,Aibono,2000000.0,2020
1180,Method & Madness,2000000.0,2021
1607,SUGAR cosmetics,2000000.0,2020
1675,Shopkirana,2000000.0,2018
945,Instasolv,2000000.0,2020
608,FITTR,2000000.0,2020
613,Faarms,2000000.0,2021
1567,Rheo,2000000.0,2020
620,Factors.AI,2000000.0,2021
1196,Mintifi,2000000.0,2018
1197,Mintoak,2000000.0,2020
199,BigSpoon Foods,2000000.0,2020
900,Impact Guru,2000000.0,2018
1849,TechnifyBiz,2000000.0,2020
214,BitClass,2000000.0,2020
2113,Yaantra,2000000.0,2018
74,Amica,2000000.0,2020
2103,Wysh,2000000.0,2020
1615,SaffronStays,2000000.0,2018
1254,Nao Spirits & Beverages Pvt Ltd,2000000.0,2021
604,EyeMyEye,2000000.0,2021
9,4baseCare,2000000.0,2021
295,Carcrew,2000000.0,2018
2191,ideaForge,2000000.0,2021
147,Awon GameZ,2000000.0,2021
1029,Kratikal,2000000.0,4040
1765,StayQrious,2000000.0,2020
1042,Kutuki,2000000.0,2021
2197,kWh Bikes,2000000.0,2021
559,Elevar,2000000.0,2021
1008,Kirana247,2000000.0,4042
269,BuyForexOnline,2000000.0,2018
1134,Mailmodo,2000000.0,2021
1774,Stones2milestones,2000000.0,2020
546,Edukemy,2000000.0,2021
2178,goEgoNetwork,2000000.0,2021
2176,edureka!,2000000.0,2018
1718,Smartcoin,2000000.0,2018
1115,Lumiq,2000000.0,2021
1708,Slurrp Farm,2000000.0,2020
197,BigHaat,2000000.0,2020
1485,Proeon,2000000.0,2021
1278,Nexprt,2000000.0,2021
341,Clairvolex,2000000.0,2020
665,Fitternity,2000000.0,2018
2036,WESS,2000000.0,2021
125,Auric,2000000.0,2021
1873,The Viral Fever,2000000.0,2021
2052,We Founder Circle,2000000.0,2021
682,Flipspaces,2000000.0,2021
856,Hoi Foods,2000000.0,2020
239,Bombay Hemp Company,2000000.0,2021
2081,Winzo,2000000.0,2020
1591,Ruptok Fintech,2000000.0,2021
1580,Routematic,2000000.0,2020
845,Hesa,2000000.0,2021
