,Company/Brand,Amount($),Year of Funding
70,Alteria Capital,150000000000.0,2021
1556,Reliance Retail Ventures Ltd,70000000000.0,2020
1726,Snowflake,3000000000.0,2020
1553,Reliance,2200000000.0,2020
1818,Swiggy,1956000000.0,8079
2002,VerSe Innovation,1550000000.0,6062
162,BYJU'S,1260000000.0,8084
502,Dream Sports,1240000000.0,4042
2153,Zomato,1239000000.0,14138
273,Byju’s,1000000000.0,4040
1318,OYO,965000000.0,8081
272,Byju's,947860249.9107393,8080
2141,Zetwerk,925200000.0,12123
1168,Meesho,920000000.0,6060
1330,Ola,861000000.0,6059
1555,Reliance Retail Ventures,800000000.0,2020
1598,SBI Life,742000000.0,2018
1416,PhonePe,720000000.0,4040
191,BharatPe,705200000.0,20208
1361,Oyo,700000000.0,4041
275,CARS24,650000000.0,4041
1663,ShareChat,639581000.0,8079
1075,Lenskart,590000000.0,6062
163,BYJU’S,590000000.0,4039
473,Delhivery,556860249.9107393,8083
279,CRED,545000000.0,6062
1741,Spinny,525700000.0,12121
1940,Udaan,505000000.0,4039
1331,Ola Electric,501000000.0,8083
1972,Urban Company,438000000.0,4042
1326,OfBusiness,435000000.0,4042
1412,PharmEasy,430000000.0,4039
271,Byju,400000000.0,4040
2142,Zhangmen,400000000.0,2020
1948,Unacademy,395860249.9107393,10102
149,Ayana,390000000.0,2020
1460,Postman,375000000.0,4041
278,CLP India Pvt. Ltd.,365000000.0,2018
797,Groww,363120000.0,8080
1122,MPL,355827021.4984517,12123
118,Asteria Aerospace,340827021.4984517,4038
503,Dream11,325000000.0,4038
1083,Licious,324000000.0,10100
1309,Nykaa,320715749.732218,14138
292,CarDekho,320000000.0,4041
1545,Rebel Foods,306400000.0,10101
373,CoinSwitch Kuber,300000000.0,6063
1944,Ultraviolette,300000000.0,4042
660,FirstCry,296000000.0,2020
1766,Stelis Biopharma,295000000.0,4039
2021,Vistara,292000000.0,2018
485,Digit Insurance,284340000.0,8082
218,Bizongo,281000000.0,8083
1425,Pine Labs,272320499.82147866,8082
1210,Mohalla Tech,266000000.0,2021
1705,Slice,261082000.0,10103
760,GlobalBees,261000000.0,4042
1629,Sarva,260380749.732218,8080
1541,Razorpay,260000000.0,4041
35,Acko,255000000.0,2021
1995,Vedantu,254300000.0,12119
1146,Max Healthcare,250827021.4984517,4039
1002,Khatabook,245860249.91073933,6061
667,Five Star Finance,234000000.0,2021
718,Furlenco,225027021.4984517,10100
1767,Stellaris Venture Partners,225000000.0,2021
912,Indiabulls Ventures,224723200.0,2018
96,AppsFlyer,210000000.0,2020
1581,Royal Sundaram General Insurance Co. Limited,210000000.0,2018
248,Bounce,209000000.0,6060
1846,Teachmint,203860249.91073933,10103
1272,NewLink Group,200000000.0,2021
510,Droom,200000000.0,2021
260,BrowserStack,200000000.0,2021
951,Interviewbit,200000000.0,2020
733,GalaxyCard,197137271.409191,6059
1769,Steradian Semiconductors,196687271.409191,4038
401,Cred,191827021.4984517,4039
154,Azure Power,185000000.0,2018
462,DealShare,177000000.0,8083
1833,Taimei,176000000.0,2020
598,Expertrons,174020499.82147866,8082
1525,RACEnergy,173020499.82147866,6061
1461,Power Gummies,172720499.82147866,6061
607,F5,172620499.82147866,8082
1477,Pristyn Care,172000000.0,8082
1558,Remedo,171720499.82147866,4040
627,Fanspole,171720499.82147866,4040
854,Hire Me Car,171720499.82147866,4040
1914,Tring,171720499.82147866,4040
920,Infarm,170000000.0,2020
89,Apna,170000000.0,4042
1908,Trell,163250000.0,12120
2136,Zepto,160000000.0,4042
1033,KreditBee,158000000.0,6063
461,DeHaat,157000000.0,6062
696,Fourth Partner Energy,156000000.0,6061
1748,Sportido,154157322.797153,4038
1502,Purplle,153000000.0,8082
1852,Tekion,150000000.0,2020
1861,The Good Glamm Group,150000000.0,2021
1582,Ruangguru,150000000.0,2020
769,GoMechanic,147560249.91073933,8081
927,Infra.Market,146000000.0,8082
758,Glance,145000000.0,2020
435,Curefit,145000000.0,2021
2213,upGrad,145000000.0,4042
2150,Zoko,140000000.0,2021
1936,Twin Health,140000000.0,2021
1709,Smallcase,139260249.91073933,6061
1095,Livspace,139000000.0,6058
708,FreshtoHome,137000000.0,4040
516,Dunzo,135022000.0,10099
1170,Mensa,135000000.0,2021
871,Hubilo,129500000.0,4041
2154,Zoomcar,126800000.0,6061
976,Jumbotail,125300000.0,10103
589,Eupheus Learning,125127021.4984517,6059
851,HighRadius,125000000.0,2020
2194,infra.market,125000000.0,2021
251,Box8,124000000.0,4040
444,DMI Group,123000000.0,2020
1939,Uable,120860249.91073933,6062
1286,Ninjacart,119830301.2987013,8078
242,Bombay Shaving Company,118827021.4984517,6060
1458,Porter,118370000.0,4041
106,Arrival,118000000.0,2020
1899,Toppr,116761000.0,6058
222,Blackbuck,115492409.91073933,4038
433,CureFit,115000000.0,2020
703,Freightwalla,114827021.4984517,4038
853,Hippo Video,114827021.4984517,4038
1241,Mynvax,114827021.4984517,4039
1001,Khabri,112827021.4984517,4039
741,Generico,112227021.4984517,4038
587,Eunimart,111527021.4984517,4039
351,Clensta,111427021.4984517,4039
1323,OckyPocky,111227021.4984517,6059
1017,Knocksense,111177021.4984517,6060
995,Keito,110987021.4984517,6059
679,Flickstree,110867921.4984517,4038
1977,UrbanPiper,110827021.4984517,2018
1994,Vebbler,110827021.4984517,2018
2039,WOTU,110827021.4984517,2018
1184,Microchip Payments,110827021.4984517,2018
480,DheeYantra Research Labs,110827021.4984517,2018
2074,Wide Mobility Mechatronics,110827021.4984517,2018
2084,Wishfie,110827021.4984517,2018
471,Deftouch,110827021.4984517,2018
467,Dee Dee Labs,110827021.4984517,2018
1456,Pooltoo,110827021.4984517,2018
2085,Wishup,110827021.4984517,2018
2059,Wedeterna,110827021.4984517,2018
513,Drstore,110827021.4984517,2018
452,DailyNinja,110827021.4984517,2018
1459,Poshmiles Online Solutions Private Limited,110827021.4984517,2018
563,Em Personal Care,110827021.4984517,2018
566,Emojifi,110827021.4984517,2018
593,EventBeep,110827021.4984517,2021
1966,UpCyclersLab,110827021.4984517,2018
1958,University Living,110827021.4984517,2018
609,FLEECA,110827021.4984517,2018
619,Faclon Labs,110827021.4984517,2018
1469,Predible Health,110827021.4984517,2018
632,FarmTaaza,110827021.4984517,2018
634,FarmersFZ,110827021.4984517,2018
2106,Xplorabox,110827021.4984517,2018
1447,Plum Goodness,110827021.4984517,2018
448,Daaki,110827021.4984517,2018
1346,Ontrack Technologies Pvt. Ltd,110827021.4984517,2018
2210,srJna,110827021.4984517,2018
1398,Pentation Analytics,110827021.4984517,2018
2172,docturnal,110827021.4984517,2018
1430,PivotRoots,110827021.4984517,2018
2165,alphaics Corporation,110827021.4984517,2018
2163,Zyla Health,110827021.4984517,2018
1352,Orbo.ai,110827021.4984517,2018
1351,Ora,110827021.4984517,2018
300,Carmel Organics,110827021.4984517,2018
312,Cellerite Systems,110827021.4984517,2018
317,Chakr Innovation,110827021.4984517,2018
330,Chizel,110827021.4984517,2018
332,Chrysalis (EZ Vidya),110827021.4984517,2018
1313,OPEN,110827021.4984517,2018
350,Cleardekho,110827021.4984517,2018
357,Cloudnine Hospitals,110827021.4984517,2018
2149,Zoctr Health,110827021.4984517,2018
376,CollPoll,110827021.4984517,2018
382,Connect India,110827021.4984517,2018
391,Corefactors,110827021.4984517,2018
400,Creator’s Gurukul,110827021.4984517,2018
2140,Zestl,110827021.4984517,2018
414,Creditas Solutions,110827021.4984517,2018
419,Cricnwin,110827021.4984517,2018
1334,Olly Smart Credit Card,110827021.4984517,2018
2129,ZAMROO,110827021.4984517,2018
655,Finwego,110827021.4984517,2018
686,Flock,110827021.4984517,2018
1929,Try & Buy,110827021.4984517,2018
1661,ShakeDeal,110827021.4984517,2018
1784,Stumagz,110827021.4984517,2018
1781,Strom Motors,110827021.4984517,2018
909,India Accelerator,110827021.4984517,2018
1778,Streo,110827021.4984517,2018
1773,Stones2Milestones,110827021.4984517,2018
1744,Spoofin,110827021.4984517,2018
939,Inntot Technologies,110827021.4984517,2018
1725,Snapmint,110827021.4984517,2018
1238,MySEODoc,110827021.4984517,2018
1219,Moonshine Meadery,110827021.4984517,2018
1688,Singularity Dynamics,110827021.4984517,2018
1003,Khidki,110827021.4984517,2018
1019,Kobster,110827021.4984517,2018
1208,Mobycy,110827021.4984517,2018
1648,SectorQube,110827021.4984517,2018
1645,Scholify,110827021.4984517,2018
1636,Satvacart,110827021.4984517,2018
1564,RevFin,110827021.4984517,4039
1101,Loans4SME,110827021.4984517,2018
1102,Loanzen,110827021.4984517,2018
1635,Sattviko,110827021.4984517,2018
1132,Magic Crate,110827021.4984517,2018
1138,Manjushree Technopack,110827021.4984517,2018
1599,SEDEMAC Mechatronics,110827021.4984517,2018
1165,Medimetry,110827021.4984517,2018
1576,Rockmetric,110827021.4984517,2018
904,Inc42,110827021.4984517,2018
1549,Reculta,110827021.4984517,2018
1821,Syncremedies Healthcare Pvt Ltd,110827021.4984517,2018
1526,RAHI Care,110827021.4984517,2018
689,Food Memories,110827021.4984517,2018
1903,Tranzmeo,110827021.4984517,2018
1471,PregBuddy,110827021.4984517,2018
701,FreightBazaar,110827021.4984517,2018
702,FreightBro,110827021.4984517,2018
1307,Nutrisattva (Proliva),110827021.4984517,2018
706,Freshboxx,110827021.4984517,2018
1305,Nua,110827021.4984517,2018
710,Fric Bergen,110827021.4984517,2018
1893,Togedr,110827021.4984517,2018
731,Gaia Smart Cities,110827021.4984517,2018
1878,Theranosis Life Sciences,110827021.4984517,2018
1406,Perspectico,110827021.4984517,2018
739,GenRobotic,110827021.4984517,2018
1870,The Social Hook,110827021.4984517,2018
1850,Technology 9 Labs (T9L),110827021.4984517,2018
763,Go Payments,110827021.4984517,2018
1839,Taru Naturals,110827021.4984517,2018
1829,Tabono,110827021.4984517,2018
798,Guardian.in,110827021.4984517,2018
823,Happyeasygo Group,110827021.4984517,2018
830,Hashtag Loyalty Private Limited,110827021.4984517,2018
840,Heelium,110827021.4984517,2018
841,HelloVerify,110827021.4984517,2018
1281,NicheAI,110827021.4984517,2018
738,Gegadyne Energy,110827021.4984517,2018
0,&ME,110827021.4984517,2018
204,Billdesk,110827021.4984517,2018
88,Any time Doctor,110827021.4984517,2018
72,Ambee,110827021.4984517,2018
48,AgNext Technologies,110827021.4984517,2018
164,BabyChakra,110827021.4984517,2018
116,Asset Reconstruction Company (India) Ltd.,110827021.4984517,2018
216,BizCrum Infotech Pvt. Ltd.,110827021.4984517,2018
93,AppWharf,110827021.4984517,2018
181,Benepik,110827021.4984517,2018
143,Awaaz De,110827021.4984517,2018
38,Adiuvo Diagnostics,110827021.4984517,2018
27,Aarav Unmanned Systems,110827021.4984517,2018
232,Blueleaf Cyberspace Systems,110827021.4984517,2018
1136,Mamaearth,109300000.0,8080
2169,boAt,106000000.0,4042
1699,Skylo,103000000.0,2020
7,3one4 Capital,100000000.0,2020
1981,VMate,100000000.0,2020
941,Inshorts,100000000.0,4042
135,Avataar Ventures,100000000.0,2021
1191,MindTickle,100000000.0,2020
2108,Xpressbees,100000000.0,2020
2062,Wellness Forever,100000000.0,2020
507,Drivezy,100000000.0,2018
1989,Vakilsearch,95860249.91073933,4041
1536,Rapido,95000000.0,4042
946,Instoried,94860249.91073933,8082
113,Arzooo,93360249.91073933,4040
190,BharatAgri,92360249.91073933,4041
416,Credr,91860249.91073933,4040
1589,Rupifi,90960249.91073933,6062
1340,OneCode,90860249.91073933,4041
1532,Rage Coffee,90860249.91073933,6062
1985,Vahak,90860249.91073933,4041
937,Innoviti,90860249.91073933,4040
751,GetVantage,90860249.91073933,4040
1570,Riskcovry,90860249.91073933,4041
289,Capital Float,90800000.0,10102
2147,Zinier,90000000.0,2020
403,CredAvenue,90000000.0,2021
1347,Open Financial Technologies,90000000.0,2021
505,DrinkPrime,89739249.91073933,6061
1375,Pariksha,89660249.91073933,6062
1473,Prescinto,89360249.91073933,4041
1817,Swiflearn,88860249.91073933,4041
794,Grip Invest,88860249.91073933,4041
784,Gourmet Garden,88860249.91073933,4041
383,ConnectedH,88160249.91073933,4041
311,Cell Propulsion,87962449.91073933,6059
2014,VilCart,87860249.91073933,4041
2080,Winuall,87860249.91073933,4040
1867,The Money Club,87560249.91073933,4041
2144,Zimyo,87360249.91073933,4040
625,FanPlay,87060249.91073933,4041
1875,The ePlane,86860249.91073933,4041
1239,Myelin Foundry,86860249.91073933,4041
1402,Peppermint,86460249.91073933,4041
264,BuildPan,86360249.91073933,4040
1250,NOTO,86360249.91073933,4041
1656,Settl,86360249.91073933,4041
1831,TagZ Foods,86360249.91073933,4041
1013,Kitchens Centre,86360249.91073933,4040
735,Gamerji,86260249.91073933,4040
1548,Recordent,86260249.91073933,4041
1538,Rare Planet,86260249.91073933,4040
1059,Leap Club,86200249.91073933,4040
1263,Neobank Jupiter,86000000.0,2021
504,Driftly Electric,85860249.91073933,2020
827,Harmonizer India,85860249.91073933,2020
1311,OM Bhakti,85860249.91073933,2020
1308,Nutrova,85860249.91073933,2020
1368,PakkaProfile,85860249.91073933,2020
45,Aether Biomedical,85860249.91073933,2020
1365,PadCare Labs,85860249.91073933,2020
786,Gram Cover,85860249.91073933,2020
43,Aerostrovilos,85860249.91073933,2020
44,Aesthetic Nutrition,85860249.91073933,2020
1328,Oga Fit,85860249.91073933,2020
1854,Tesco Charge Zone,85860249.91073933,2020
790,Green Cure,85860249.91073933,4041
463,Dealberg,85860249.91073933,2020
1880,Thrive,85860249.91073933,2020
115,AsknBid,85860249.91073933,2020
1335,Omatra Hotels,85860249.91073933,2020
810,Habbit Health,85860249.91073933,2020
1906,Traya,85860249.91073933,2020
226,Blowhorn,85860249.91073933,2020
1897,Toppeq,85860249.91073933,2020
1336,Omnify,85860249.91073933,2020
1382,PayMart,85860249.91073933,2020
1925,Trukky,85860249.91073933,2020
469,DeepTek,85860249.91073933,2020
119,Astrogate Labs,85860249.91073933,2020
1324,Oda Class,85860249.91073933,2020
440,Customfit ai,85860249.91073933,2020
1640,Savvy Co op,85860249.91073933,2020
1890,Toddle,85860249.91073933,2020
1329,Oga Fit's,85860249.91073933,2020
1886,Tinker Coders,85860249.91073933,2020
111,Artivatic.ai,85860249.91073933,2020
459,DaveAI,85860249.91073933,2020
1885,Timios,85860249.91073933,2020
795,GroCurv,85860249.91073933,2020
826,Harappa Education,85860249.91073933,2020
1881,ThriveFNC,85860249.91073933,2020
456,DatStop,85860249.91073933,2020
1322,Obviously AI,85860249.91073933,2020
777,GogoBus,85860249.91073933,2020
1407,Pesto,85860249.91073933,2020
1732,Soxytoes,85860249.91073933,2020
711,Friyey,85860249.91073933,2020
1724,Snackible,85860249.91073933,2020
1723,SnackAmor,85860249.91073933,2020
1722,Snack Amor,85860249.91073933,4041
705,FreshToHome,85860249.91073933,2020
1543,ReNEWate,85860249.91073933,2020
1702,Sleepy Owl,85860249.91073933,2020
590,Evage,85860249.91073933,2020
1693,Skilancer,85860249.91073933,2020
1577,RoomSoom,85860249.91073933,2020
79,Anaxee Digital Runner,85860249.91073933,2020
673,Fleeca India,85860249.91073933,2020
1593,Rusk Media,85860249.91073933,2020
76,AnalytIQSports's SuperCric,85860249.91073933,2020
663,Fitphilia,85860249.91073933,2020
1609,SaScan,85860249.91073933,2020
1612,Sabse Sasta Dukaan,85860249.91073933,2020
1620,Samadhan,85860249.91073933,2020
1621,Samosa Party,85860249.91073933,2020
1665,Shilpa Sciences,85860249.91073933,2020
69,AlphaVector,85860249.91073933,2020
651,Finn,85860249.91073933,2020
71,Altor,85860249.91073933,2020
647,Finelistings,85860249.91073933,2020
645,Finaureus Technologies,85860249.91073933,2020
631,FarmERP,85860249.91073933,2020
1631,Sascan Meditech pvt ltd,85860249.91073933,2020
1647,Seal Professional,85860249.91073933,2020
1737,SpeakIn,85860249.91073933,2020
62,Aker Foods,85860249.91073933,2020
1508,Qin1,85860249.91073933,4041
1786,StyleNook,85860249.91073933,2020
1836,Tango Eye,85860249.91073933,2020
1415,PhoneParLoan,85860249.91073933,2020
211,Biomoneta,85860249.91073933,2020
1445,Plop,85860249.91073933,2020
1827,TUBBR,85860249.91073933,2020
1819,Swipez,85860249.91073933,2020
1453,PointOne Capital,85860249.91073933,2020
52,Agrix,85860249.91073933,2020
1794,Suno India,85860249.91073933,2020
531,EWar,85860249.91073933,2020
1468,Precily,85860249.91073933,2020
533,Earth Energy EV,85860249.91073933,2020
1954,Univ.ai,85860249.91073933,2020
53,Agro2o,85860249.91073933,2020
1752,Sprinng Foods,85860249.91073933,2020
1482,Probus Smart Things,85860249.91073933,2020
541,Eden Smart Homes,85860249.91073933,2020
542,Edhusk,85860249.91073933,2020
740,Generic Aadhaar,85860249.91073933,2020
1489,Prolixr,85860249.91073933,2020
1493,Protinus Fashion Networking Pvt Ltd,85860249.91073933,2020
56,Ahaguru,85860249.91073933,2020
1768,Stepathlon Lifestyle,85860249.91073933,2020
1499,PurohitJi,85860249.91073933,2020
730,GabbarDeals,85860249.91073933,2020
556,ElecTorq,85860249.91073933,2020
1761,Stack Finance,85860249.91073933,2020
1754,Spyne,85860249.91073933,2020
1953,Uniplatform Tech,85860249.91073933,2020
1025,Konfinity,85860249.91073933,2020
343,ClassMonitor,85860249.91073933,2020
2040,WYN Studio,85860249.91073933,2020
2033,Voosh,85860249.91073933,2020
2030,Voicezen,85860249.91073933,2020
363,Codeninja,85860249.91073933,2020
364,Codeyoung,85860249.91073933,2020
281,CYFIRMA,85860249.91073933,2020
280,CUSMAT,85860249.91073933,2020
1080,LetsUp,85860249.91073933,2020
1221,Morning Context,85860249.91073933,2020
2016,Virtual Forest,85860249.91073933,2020
145,Awign,85860249.91073933,2020
2013,Vieroots,85860249.91073933,2020
236,Bold Care,85860249.91073933,2020
378,CollegeKhabri,85860249.91073933,2020
1234,MyKaam,85860249.91073933,2020
2011,Vicara,85860249.91073933,2020
891,IPHM Services,85860249.91073933,2020
1244,NEETprep,85860249.91073933,2020
1251,NWNT (No Worry No Tension Healthcare),85860249.91073933,2020
1261,NeoDocs,85860249.91073933,6062
2035,WE-Hub,85860249.91073933,2020
282,Callido Learning,85860249.91073933,2020
253,Brainwired,85860249.91073933,2020
1203,MobiGarage,85860249.91073933,2020
1103,Locale ai,85860249.91073933,2020
954,Invento,85860249.91073933,2020
1143,MasterG,85860249.91073933,2020
944,Instamojo,85860249.91073933,2020
1161,Medfin,85860249.91073933,2020
938,Inntot,85860249.91073933,2020
327,Chiratae Ventures,85860249.91073933,2020
1178,MetaMerphoSys,85860249.91073933,2020
1182,Metvy,85860249.91073933,2020
1187,MikeLegal,85860249.91073933,2020
159,BLive,85860249.91073933,2020
2065,Wellversed,85860249.91073933,2020
1195,MinionLabs,85860249.91073933,2020
1200,Mitron TV,85860249.91073933,2020
2053,WeInnovate Biosolutions,85860249.91073933,2020
981,KIKO TV,85860249.91073933,4041
2046,Walrus,85860249.91073933,2020
284,CamCom,85860249.91073933,2020
1086,LightSpeedAI,85860249.91073933,2020
875,Humus,85860249.91073933,2020
906,IncubateHub,85860249.91073933,2020
2132,Zealthy,85860249.91073933,2020
1276,Newsreach,85860249.91073933,2020
26,Aagey,85860249.91073933,2020
2186,iKure,85860249.91073933,2020
1291,Nium,85860249.91073933,2020
409,Credgencies,85860249.91073933,2020
167,Bambrew,85860249.91073933,2020
268,Burgerama,85860249.91073933,2020
858,HomeCapital,85860249.91073933,2020
425,CrowdPouch,85860249.91073933,2020
1053,Lattu Kids,85860249.91073933,2020
1284,Nimesa,85860249.91073933,2020
864,HooLiv,85860249.91073933,2020
1962,Unocoin,85860249.91073933,2020
1979,UzhavarBumi,85860249.91073933,2020
1273,News Reach,85860249.91073933,2020
25,Aadhar,85860249.91073933,2020
2180,goStops,85860249.91073933,2020
1957,Universal Sportsbiz Pvt Ltd,85860249.91073933,2020
1028,KopyKitab,85860249.91073933,2020
1306,Nupay,85860249.91073933,2020
873,Hudle,85860249.91073933,2020
1047,LAVAL,85860249.91073933,2020
2212,uFony Services Pvt ltd,85860249.91073933,2020
1287,Nirmata,85860249.91073933,2020
344,Classplus,85700000.0,8081
554,ElasticRun,83760000.0,4039
2078,WinZO,83000000.0,4041
967,JetSynthesys,82000000.0,6061
1588,Rupeek,81830000.0,6058
838,HealthifyMe,81000000.0,4039
859,HomeLane,81000000.0,6061
1164,Medikabazaar,80000000.0,4039
1779,Stride Ventures,80000000.0,2020
1920,True Balance,79943500.0,8082
2026,Vivriti Capital,79500000.0,6058
1060,Leap Finance,77500000.0,6062
1339,OneCard,76000000.0,2021
719,Fusion Microfinance,75920000.0,2018
1941,Udacity,75000000.0,2020
1933,Turtlemint,75000000.0,4041
296,Cardekho,75000000.0,2018
347,Clear,75000000.0,2021
1454,Policybazaar,75000000.0,2021
1389,Peak,75000000.0,2021
1205,Mobile Premier League,74000000.0,2020
1216,MoneyTap,70185200.0,2020
54,AgroStar,70000000.0,2021
1401,Pepperfry,70000000.0,4041
1952,Uni Cards,70000000.0,2021
209,Biocon Biologics,70000000.0,2021
150,Aye Finance,69354200.0,8078
1791,SugarBox,68525000.0,2020
219,BlackBuck,67000000.0,2021
1298,Northern Arc,65000000.0,6063
1935,Twenty Two Motors,65000000.0,2018
910,India Quotient,64000000.0,2021
2156,Zorro,64000000.0,4042
1121,MFine,64000000.0,4042
196,Big Basket,63500000.0,4040
2139,ZestMoney,63400000.0,4039
2151,Zolostays,63000000.0,4040
681,Flipkart,62000000.0,2020
1465,Pratilipi,61700000.0,6059
1666,Shiprocket,61500000.0,6061
377,CollegeDekho,61000000.0,4042
1233,MyGlamm,61000000.0,6062
18,ACKO,60000000.0,2020
1660,Shadowfax,60000000.0,2020
980,Juspay,60000000.0,2021
517,Duroflex,60000000.0,2021
1297,Nobel Hygiene,60000000.0,2021
451,DailyHunt,59600000.0,4040
349,ClearTax,58400000.0,2018
291,Captain Fresh,57300000.0,8083
1048,LEAD School,56000000.0,4040
539,Ecom Express,56000000.0,4041
321,Chargebee,55000000.0,2020
652,Finova Capital,55000000.0,2020
1155,MedGenome,55000000.0,2020
2028,Vogo,55000000.0,4040
1559,RenewBuy,55000000.0,4042
2152,Zolve,55000000.0,4042
1202,MoEngage,55000000.0,4041
474,Design Cafe,54200000.0,4039
1320,Observe ai,54000000.0,2020
1600,SK Finance,53000000.0,2021
2196,ixigo,53000000.0,2021
729,Gaana,51000000.0,2020
641,Fi,50000000.0,2021
13,8i Ventures,50000000.0,2021
699,Fraazo,50000000.0,2021
1552,Rein Games,50000000.0,2020
624,FanCode,50000000.0,2021
1608,SUN Mobility,50000000.0,2021
1613,Safex Chemicals,50000000.0,2021
1107,Locus,50000000.0,2021
1171,Mensa Brands,50000000.0,2021
1974,UrbanClap,50000000.0,2018
926,Info Edge Venture,50000000.0,2020
1301,Nova Credit,50000000.0,2020
393,Country Delight,50000000.0,4040
1419,PiBeam,50000000.0,2020
491,DocPrime,50000000.0,2018
821,HappyEasyGo,49400000.0,2020
1344,Onsitego,49000000.0,4040
1713,Smart Joules,49000000.0,2021
1265,NephroPlus,48000000.0,4042
2160,Zupee,48000000.0,6062
318,Chalo,47000000.0,4042
902,InCred,46900000.0,4038
120,Ather Energy,46241000.0,4040
1162,MediBuddy,46000000.0,6063
1655,Servify,45990000.0,8080
499,Doubtnut,45511000.0,6059
915,Indifi,45000000.0,4042
1169,Melorra,44590000.0,6061
427,Cub McPaws,44130301.2987013,4040
978,Jupiter,44000000.0,2021
1690,SirionLabs,44000000.0,2020
153,Azah Personal Care Pvt. Ltd.,43330301.2987013,2020
1348,Open Secret,43330301.2987013,2020
650,Finly,43330301.2987013,2020
446,DROR Labs Pvt. Ltd,43330301.2987013,2020
46,Afinoz,43330301.2987013,2020
207,Binca Games,43330301.2987013,2020
1497,Pumpkart,43330301.2987013,2020
688,FlytBase,43330301.2987013,2020
430,Cubical Labs,43330301.2987013,2020
293,CarTrade,42500000.0,2020
1571,Rivigo,42400000.0,6060
1967,UpScalio,42000000.0,2021
684,FloBiz,41000000.0,4042
133,Avanti Finance,41000000.0,4042
1856,Tessolve,40000000.0,2021
529,ERUDITUS Executive Education,40000000.0,2018
80,Ankur capital,40000000.0,2021
1682,Simpl,40000000.0,2021
1066,Leena AI,40000000.0,6059
1061,Leap India,40000000.0,4041
1258,Nazara Technologies,40000000.0,4042
160,BOX8,40000000.0,2021
234,Blume Ventures,40000000.0,2021
597,Exotel,40000000.0,4041
201,Bijnis,40000000.0,6062
431,CueMath,40000000.0,2020
1110,LogiNext,39000000.0,2020
622,Fampay,38000000.0,2021
2044,WalMart India,37680000.0,2018
2051,Waycool,37500000.0,4040
1188,Miko,37000000.0,6062
833,Heads Up For Tails,37000000.0,2021
23,APAC Financial Services,36500000.0,2018
1376,Park+,36000000.0,4041
723,G.O.A.T,36000000.0,2021
1269,Netmeds,35000000.0,2018
498,DotPe,35000000.0,4042
307,Cashfree,35000000.0,4041
121,Ati Motors,35000000.0,2021
1118,M2P Fintech,35000000.0,2021
410,Credgenics,34300000.0,8081
326,Chingari,34300000.0,8082
1026,Koo,34100000.0,4042
630,FarMart,34000000.0,4042
962,Jai Kisan,33937000.0,4041
314,Chaayos,33326000.0,4038
583,Ess Kay Fincorp,33000000.0,2020
336,CityMall,33000000.0,4042
1466,Pravasirojgar,33000000.0,2020
1354,Origo,32480000.0,8079
888,INDwealth,32120000.0,2018
2066,Whatfix,32000000.0,2020
1996,Vedic Cosmeceuticals,32000000.0,2021
129,Avail Finance,31835000.0,6059
1563,ReshaMandi,31700000.0,4042
1133,Magicpin,31465000.0,6058
1166,Medlife,31000000.0,4040
1795,Sunstone Eduversity,31000000.0,4041
1487,Progcap,31000000.0,4042
1285,Ninety One,30000000.0,2021
2004,Veritas Finance,30000000.0,2018
1595,SATYA MicroCapital,30000000.0,4042
1993,Vayana Network,30000000.0,2021
402,CredAble,30000000.0,2021
1413,Phenom People,30000000.0,2020
1770,Sterling Accuris Wellness,30000000.0,2021
1494,Public,30000000.0,2020
511,Droom Technology Private Limited,30000000.0,2018
1294,NoBroker,30000000.0,2020
94,ApplicateAI,30000000.0,2021
81,Annapurna Finance,30000000.0,2021
1634,Satin Creditcare Network Limited (SCNL),30000000.0,2018
1012,Kissht,30000000.0,2018
1057,Lead School,30000000.0,2021
2020,Vistaar Finance,30000000.0,2020
1623,Samunnati,30000000.0,4041
1085,LifeCell,30000000.0,2021
1601,SMEcorner,30000000.0,2020
2043,Wakefit,29490000.0,4039
1540,Rays Power Infra,29200000.0,2018
29,Aavas Financiers,29200000.0,2018
180,Belstar Investment and Finance Private Limited,28000000.0,2018
545,Eduisfun,28000000.0,2020
1084,Lido Learning,28000000.0,8081
285,Camp K12,28000000.0,6062
1073,LendingKart,27439000.0,4040
112,Arya,27000000.0,4040
1450,Pocket FM,27000000.0,4041
1332,Ola Financial Services,27000000.0,2020
831,Hasura,26600000.0,4038
1776,Strata,26567328.0,6061
1321,Observe.AI,26000000.0,2020
436,Curefoods,26000000.0,4042
1043,Kutumb,26000000.0,2021
2056,WeWork India,26000000.0,2021
1031,KredX,26000000.0,2020
765,GoBolt,25840000.0,4039
865,Hopscotch,25000000.0,2020
389,Coralogix,25000000.0,2020
1758,Square Yards,25000000.0,2021
308,Cashify,25000000.0,4041
408,Credenc,25000000.0,2021
1895,Toothsi,25000000.0,4042
2122,Your MD,25000000.0,2020
506,Drishti Technologies,25000000.0,2020
629,FarEye,24500000.0,2020
1015,Klub,24000000.0,6062
1222,Mosaic Wellness,24000000.0,2021
184,BetterPlace,24000000.0,2021
844,Hero Electric,23360000.0,2018
876,HungerBox,23200000.0,6058
1209,Moglix,23000000.0,2018
1946,Umeed Housing,23000000.0,2020
1697,Skit,23000000.0,2021
636,Fashinza,22600000.0,4042
837,HealthPlix,22500000.0,6059
