Company/Brand,Sector,Stage,Amount ($),HeadQuarter,What it does,Year of Funding,Amount(USD)
Sattviko,"Food Processing, Retail",Angel,0.0,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,NUL
Sensibull,Trading Platform,Seed,,Bangalore,Investment Management Platform,2018,INR
Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",Series A,0.0,New Delhi,Bombay Shaving Company is a Men's grooming startup,2018,NUL
MedCords,Wellness,Seed,,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,INR
University Living,Education,Seed,0.0,New Delhi,University Living is an online global student housing marketplace.,2018,NUL
&ME,"Food and Beverage, Food Processing, Nutrition",Seed,0.0,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,NUL
Enakshi,Fashion,Seed,,Ahmedabad,Enakshi is an online apparel brand for women.,2018,INR
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Series A,,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,INR
Inthree Access,"Consulting, Retail, Social",Series A,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018, 
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,9000000.0,Bangalore,BUGWORKS is a drug discovery company.,2018, 
Guardian.in,Health Care,Seed,0.0,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,NUL
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed,100000.0,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018, 
Wimoxez,Internet,Seed,20000.0,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018, 
India Accelerator,"Communities, Coworking, Incubators",Angel,0.0,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,NUL
HappyEMI,"Consumer, Financial Services, FinTech",Seed,1000000.0,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018, 
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,0.0,Azadpur,Premium Personal Assistance service,2018,NUL
Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,4000000.0,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018, 
Propelld,"Education, Financial Services, FinTech",Seed,250000.0,Bengaluru,Propelld is a student education financing platform.,2018, 
PivotRoots,"Advertising, Consulting, Digital Marketing",Series A,0.0,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,NUL
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,120000.0,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018, 
Carmesi,Health Care,Seed,,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,INR
OckyPocky,"E-Learning, Internet, Video Games",Angel,0.0,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,NUL
Racetrack,"Artificial Intelligence, Cloud Computing, Video",Seed,,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,INR
WHR,"Health Care, Information Technology",Seed,,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018, 
Asteria Aerospace,Aerospace,Seed,0.0,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,2018,NUL
FabAlley,"E-Commerce, Fashion, Lifestyle",Series B,,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,INR
Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Pre-Seed,0.0,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,NUL
SBI Life,Insurance,Private Equity,,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018, 
Studds Accessories,E-Commerce,Private Equity,,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018,INR
