,Amount($),Year of Funding,Founded,Company/Brand,Sector,Stage,HeadQuarter,What it does,Founders
623,45000000.0,2020,2015,Rupeek,FinTech,Series C,Bangalore,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Amar Prabhu, Ashwin Soni, Sumit Maniyar"
624,1000000.0,2020,2017,Gig India,Crowdsourcing,Pre-series A,Pune,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma"
625,2000000.0,2020,2016,Slurrp Farm,Food & Bevarages,Series A,Gurgaon,Slurrp Farm is a children health food brand.,Meghana Narayan
626,85860249.91073933,2020,2017,Medfin,HealthTech,Series A,Bangalore,Medfin is a Discovery platform for medical procedures and financing.,"Arjun Kumar, Arun Kumar, Sidharth Gurjar"
627,85860249.91073933,2020,2015,MasterG,Fashion startup,Series A,New Delhi,MasterG is a design and skill development organisation.,Gayatri Jolly
628,1200000.0,2020,2014,Brila 91,Food & Bevarages,Series A,New Delhi,Bira 91 is a craft beer company.,Ankur Jain
629,600000.0,2020,2015,FoodyBuddy,Food Industry,Series A,Belgaum,FoodyBuddy is a online food delivery portal,"Akil Sethuraman, Anup Gopinath, Rachna Rao"
630,660000000.0,2020,2008,Zomato,Food Delivery,Series A,Gurgaon,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah"
631,120000.0,2020,2020,OurEye.ai,Virtual auditing startup,Series A,Bangalore,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.","Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal"
632,7500000.0,2020,2017,Shiprocket,E-commerce,Series C,New Delhi,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Gautam Kapoor, Saahil Goel, Vishesh Khurana"
633,85860249.91073933,2020,1998,Pine Labs,FinTech,Series A,Noida,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,Amrish Rau
634,1000000.0,2020,2019,Moneyboxx Finance,FinTech,Series A,New Delhi,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,Prashant Agarwal
635,85860249.91073933,2020,2019,EWar,Gaming,Pre-series A,Bangalore,EWar Games is a e-sports and real-time gaming start-up.,"Parth Chadha, Rahul Singh"
636,5000000.0,2020,2016,SucSEED Indovation,FinTech,Series A,Hyderabad,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Vikrant Varshney
637,1000000.0,2020,2019,TaxBuddy.com,FinTech,Series A,Mumbai,TaxBuddy for any tax related issues.,Sujit Bangar
638,500000.0,2020,2016,Awign Enterprises,Work fulfillment,Series A,Bangalore,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah"
639,3000000.0,2020,2018,Circle of Angels,FinTech,Series A,Gurgaon,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Karanpal Singh
640,10000000.0,2020,2017,CoinDCX,FinTech,Series B,Mumbai,CoinDCX is a company that specializes in crypto-enabled financial services.,"Neeraj Khandelwal, Sumit Gupta"
641,145000000.0,2020,2016,Glance,AI startup,Series A,Bangalore,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Naveen Tewari
642,100000000.0,2020,2007,VerSe Innovation,Telecommunication,Series A,Bangalore,Owner of Dailyhunt App and I-Pay,Virendra Gupta
643,85860249.91073933,2020,2020,Voosh,Food Industry,Pre-seed,Bangalore,Building India's largest digital food service brand,Priyam Saraswat
644,85860249.91073933,2020,2011,Delhivery,E-commerce,Series A,Gurgaon,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,"Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan"
645,21000000.0,2020,1982,Arya,AgriTech,Series B,Noida,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation","Chattanathan Devarajan, Prasanna Rao, Anand Chandra"
646,4000000.0,2020,2015,Pickrr,Logistics,Series A,New Delhi,Pickrr is an on-demand first mile logistics company,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder"
647,20000000.0,2020,2015,PhonePe,FinTech,Series A,Andheri,PhonePe is a mobile payment application that enables users to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam"
648,1000000.0,2020,2018,Countingwell,EdTech,Pre-series A,Bangalore,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Nirmal Shah
649,560000.0,2020,2016,Callify.ai,Tech Startup,Seed,Mumbai,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,"Chetan Indap, Sunny Sharma, Deepanti Kavi"
650,85860249.91073933,2020,2016,Hudle,Sports,Pre-series A,New Delhi,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Suhail Narain
651,400000.0,2020,2013,Cover it Up,E-commerce,Seed,Chennai,Online portal that churns out high quality products,Ronak Sarda
652,275000.0,2020,2019,BiteSpeed,E-commerce,Seed,Gurgaon,Chat-based commerce for E-commerce brands,"Vinayak, Kshitij Abhishek, Apoorv Sadana"
653,20000000.0,2020,2016,WakeFit,Retail,Series B,Bangalore,Wakefitkart is a mattress manufacturing company,"Ankit Garg, Chaitanya Ramalingegowda"
